date,rate,asset,rate_type,protocol
2022-01-01 00:00:00+00:00,0.0002702541670001927,WBTC,supply,aave_arbitrum
2022-01-02 00:00:00+00:00,0.000270772593785191,WBTC,supply,aave_arbitrum
2022-01-03 00:00:00+00:00,0.00025174306814910194,WBTC,supply,aave_arbitrum
2022-01-04 00:00:00+00:00,0.00024452683924503535,WBTC,supply,aave_arbitrum
2022-01-05 00:00:00+00:00,0.00023746178044986826,WBTC,supply,aave_arbitrum
2022-01-06 00:00:00+00:00,0.00026466769895545195,WBTC,supply,aave_arbitrum
2022-01-07 00:00:00+00:00,0.00025131538010225615,WBTC,supply,aave_arbitrum
2022-01-08 00:00:00+00:00,0.0002474301389760402,WBTC,supply,aave_arbitrum
2022-01-09 00:00:00+00:00,0.00026369189109494537,WBTC,supply,aave_arbitrum
2022-01-10 00:00:00+00:00,0.00025594905220270646,WBTC,supply,aave_arbitrum
2022-01-11 00:00:00+00:00,0.0002302522754839228,WBTC,supply,aave_arbitrum
2022-01-12 00:00:00+00:00,0.0002636650831907475,WBTC,supply,aave_arbitrum
2022-01-13 00:00:00+00:00,0.00023935347233541688,WBTC,supply,aave_arbitrum
2022-01-14 00:00:00+00:00,0.0003013869003682432,WBTC,supply,aave_arbitrum
2022-01-15 00:00:00+00:00,0.0002147913139640034,WBTC,supply,aave_arbitrum
2022-01-16 00:00:00+00:00,0.00024181777923016975,WBTC,supply,aave_arbitrum
2022-01-17 00:00:00+00:00,0.00028089947095857794,WBTC,supply,aave_arbitrum
2022-01-18 00:00:00+00:00,0.00026362626688739645,WBTC,supply,aave_arbitrum
2022-01-19 00:00:00+00:00,0.0002949615672068368,WBTC,supply,aave_arbitrum
2022-01-20 00:00:00+00:00,0.0001982595854693501,WBTC,supply,aave_arbitrum
2022-01-21 00:00:00+00:00,0.0003161109338772533,WBTC,supply,aave_arbitrum
2022-01-22 00:00:00+00:00,0.00024580591125074027,WBTC,supply,aave_arbitrum
2022-01-23 00:00:00+00:00,0.00025898277303843773,WBTC,supply,aave_arbitrum
2022-01-24 00:00:00+00:00,0.00026192481810340926,WBTC,supply,aave_arbitrum
2022-01-25 00:00:00+00:00,0.00025548371858401676,WBTC,supply,aave_arbitrum
2022-01-26 00:00:00+00:00,0.0003347012406715231,WBTC,supply,aave_arbitrum
2022-01-27 00:00:00+00:00,0.00025980506349695227,WBTC,supply,aave_arbitrum
2022-01-28 00:00:00+00:00,0.0003280115890912283,WBTC,supply,aave_arbitrum
2022-01-29 00:00:00+00:00,0.0003083505650722995,WBTC,supply,aave_arbitrum
2022-01-30 00:00:00+00:00,0.0003049470822947488,WBTC,supply,aave_arbitrum
2022-01-31 00:00:00+00:00,0.000267002207281156,WBTC,supply,aave_arbitrum
2022-02-01 00:00:00+00:00,0.00038199597881050676,WBTC,supply,aave_arbitrum
2022-02-02 00:00:00+00:00,0.00027951733253489644,WBTC,supply,aave_arbitrum
2022-02-03 00:00:00+00:00,0.00033755283009448487,WBTC,supply,aave_arbitrum
2022-02-04 00:00:00+00:00,0.00045389930086947144,WBTC,supply,aave_arbitrum
2022-02-05 00:00:00+00:00,0.00035640167974538347,WBTC,supply,aave_arbitrum
2022-02-06 00:00:00+00:00,0.0003782719249909228,WBTC,supply,aave_arbitrum
2022-02-07 00:00:00+00:00,0.0002844771269754265,WBTC,supply,aave_arbitrum
2022-02-08 00:00:00+00:00,0.00036180431286115297,WBTC,supply,aave_arbitrum
2022-02-09 00:00:00+00:00,0.0003704760269998574,WBTC,supply,aave_arbitrum
2022-02-10 00:00:00+00:00,0.0003437986908207312,WBTC,supply,aave_arbitrum
2022-02-11 00:00:00+00:00,0.0003545650012087446,WBTC,supply,aave_arbitrum
2022-02-12 00:00:00+00:00,0.00036616983947124323,WBTC,supply,aave_arbitrum
2022-02-13 00:00:00+00:00,0.00038525680500937876,WBTC,supply,aave_arbitrum
2022-02-14 00:00:00+00:00,0.00036771178292893723,WBTC,supply,aave_arbitrum
2022-02-15 00:00:00+00:00,0.00036771178292893723,WBTC,supply,aave_arbitrum
2022-02-16 00:00:00+00:00,0.00012621020919745062,WBTC,supply,aave_arbitrum
2022-02-17 00:00:00+00:00,8.105605160487221e-05,WBTC,supply,aave_arbitrum
2022-02-18 00:00:00+00:00,0.00011313046840371382,WBTC,supply,aave_arbitrum
2022-02-19 00:00:00+00:00,0.0001883505035718552,WBTC,supply,aave_arbitrum
2022-02-20 00:00:00+00:00,0.00014418056917595994,WBTC,supply,aave_arbitrum
2022-02-21 00:00:00+00:00,0.00010473342607691065,WBTC,supply,aave_arbitrum
2022-02-22 00:00:00+00:00,0.00018863829016778396,WBTC,supply,aave_arbitrum
2022-02-23 00:00:00+00:00,0.00025072415194995513,WBTC,supply,aave_arbitrum
2022-02-24 00:00:00+00:00,0.00014360931424591927,WBTC,supply,aave_arbitrum
2022-02-25 00:00:00+00:00,0.0003496487391936983,WBTC,supply,aave_arbitrum
2022-02-26 00:00:00+00:00,0.0006884812249375438,WBTC,supply,aave_arbitrum
2022-02-27 00:00:00+00:00,0.0007639968625626033,WBTC,supply,aave_arbitrum
2022-02-28 00:00:00+00:00,0.0004534502391567645,WBTC,supply,aave_arbitrum
2022-03-01 00:00:00+00:00,0.0006033503228896575,WBTC,supply,aave_arbitrum
2022-03-02 00:00:00+00:00,0.00030928502012854566,WBTC,supply,aave_arbitrum
2022-03-03 00:00:00+00:00,0.00024384517560981423,WBTC,supply,aave_arbitrum
2022-03-04 00:00:00+00:00,0.0007573959830057573,WBTC,supply,aave_arbitrum
2022-03-05 00:00:00+00:00,0.0009823629352262624,WBTC,supply,aave_arbitrum
2022-03-06 00:00:00+00:00,0.0009253168435769558,WBTC,supply,aave_arbitrum
2022-03-07 00:00:00+00:00,0.00022175272870255874,WBTC,supply,aave_arbitrum
2022-03-08 00:00:00+00:00,0.0002565268724090545,WBTC,supply,aave_arbitrum
2022-03-09 00:00:00+00:00,0.0002602799854608639,WBTC,supply,aave_arbitrum
2022-03-10 00:00:00+00:00,0.0002996023096482444,WBTC,supply,aave_arbitrum
2022-03-11 00:00:00+00:00,0.0014345306678229324,WBTC,supply,aave_arbitrum
2022-03-12 00:00:00+00:00,0.0011890088828448915,WBTC,supply,aave_arbitrum
2022-03-13 00:00:00+00:00,0.0003375255750117754,WBTC,supply,aave_arbitrum
2022-03-14 00:00:00+00:00,0.000275512456473994,WBTC,supply,aave_arbitrum
2022-03-15 00:00:00+00:00,0.0003315718360568318,WBTC,supply,aave_arbitrum
2022-03-16 00:00:00+00:00,0.00017402450834542812,WBTC,supply,aave_arbitrum
2022-03-17 00:00:00+00:00,0.0002719914995518663,WBTC,supply,aave_arbitrum
2022-03-18 00:00:00+00:00,0.0004981320119076808,WBTC,supply,aave_arbitrum
2022-03-19 00:00:00+00:00,0.00018294566649848065,WBTC,supply,aave_arbitrum
2022-03-20 00:00:00+00:00,0.00018539209002854928,WBTC,supply,aave_arbitrum
2022-03-21 00:00:00+00:00,0.0006530999256384906,WBTC,supply,aave_arbitrum
2022-03-22 00:00:00+00:00,0.00017640599105856608,WBTC,supply,aave_arbitrum
2022-03-23 00:00:00+00:00,0.00014241945809278394,WBTC,supply,aave_arbitrum
2022-03-24 00:00:00+00:00,0.00035082068615804635,WBTC,supply,aave_arbitrum
2022-03-25 00:00:00+00:00,0.00035033375850827017,WBTC,supply,aave_arbitrum
2022-03-26 00:00:00+00:00,0.00037135329550174796,WBTC,supply,aave_arbitrum
2022-03-27 00:00:00+00:00,0.00024029220131339892,WBTC,supply,aave_arbitrum
2022-03-28 00:00:00+00:00,0.00021882827177016845,WBTC,supply,aave_arbitrum
2022-03-29 00:00:00+00:00,0.0004391157076787446,WBTC,supply,aave_arbitrum
2022-03-30 00:00:00+00:00,0.0004083519972335109,WBTC,supply,aave_arbitrum
2022-03-31 00:00:00+00:00,0.00019153287291811375,WBTC,supply,aave_arbitrum
2022-04-01 00:00:00+00:00,0.00018826454447176956,WBTC,supply,aave_arbitrum
2022-04-02 00:00:00+00:00,0.00024145318005257805,WBTC,supply,aave_arbitrum
2022-04-03 00:00:00+00:00,0.0003255767664689621,WBTC,supply,aave_arbitrum
2022-04-04 00:00:00+00:00,0.0012824788699839272,WBTC,supply,aave_arbitrum
2022-04-05 00:00:00+00:00,0.0007710030594991332,WBTC,supply,aave_arbitrum
2022-04-06 00:00:00+00:00,0.0003143323654894145,WBTC,supply,aave_arbitrum
2022-04-07 00:00:00+00:00,0.0009798089135998522,WBTC,supply,aave_arbitrum
2022-04-08 00:00:00+00:00,0.001487814685503633,WBTC,supply,aave_arbitrum
2022-04-09 00:00:00+00:00,0.001022178232291574,WBTC,supply,aave_arbitrum
2022-04-10 00:00:00+00:00,0.0014122843765928344,WBTC,supply,aave_arbitrum
2022-04-11 00:00:00+00:00,0.0011408336587265205,WBTC,supply,aave_arbitrum
