date,rate,asset,rate_type,protocol
2022-01-01 00:00:00+00:00,0.018991140868109886,WETH,supply,aave_arbitrum
2022-01-02 00:00:00+00:00,0.01969046656498889,WETH,supply,aave_arbitrum
2022-01-03 00:00:00+00:00,0.018120310650466882,WETH,supply,aave_arbitrum
2022-01-04 00:00:00+00:00,0.01752618704171413,WETH,supply,aave_arbitrum
2022-01-05 00:00:00+00:00,0.017908887077669116,WETH,supply,aave_arbitrum
2022-01-06 00:00:00+00:00,0.019750360453888432,WETH,supply,aave_arbitrum
2022-01-07 00:00:00+00:00,0.01827383745190261,WETH,supply,aave_arbitrum
2022-01-08 00:00:00+00:00,0.01943936503110068,WETH,supply,aave_arbitrum
2022-01-09 00:00:00+00:00,0.018695388961332243,WETH,supply,aave_arbitrum
2022-01-10 00:00:00+00:00,0.019086099231604918,WETH,supply,aave_arbitrum
2022-01-11 00:00:00+00:00,0.016989984934634703,WETH,supply,aave_arbitrum
2022-01-12 00:00:00+00:00,0.0191845048765598,WETH,supply,aave_arbitrum
2022-01-13 00:00:00+00:00,0.01618560961145899,WETH,supply,aave_arbitrum
2022-01-14 00:00:00+00:00,0.0194040967633255,WETH,supply,aave_arbitrum
2022-01-15 00:00:00+00:00,0.014932995229517703,WETH,supply,aave_arbitrum
2022-01-16 00:00:00+00:00,0.016256248230746624,WETH,supply,aave_arbitrum
2022-01-17 00:00:00+00:00,0.01759419635191045,WETH,supply,aave_arbitrum
2022-01-18 00:00:00+00:00,0.017685397274093753,WETH,supply,aave_arbitrum
2022-01-19 00:00:00+00:00,0.01782023608180613,WETH,supply,aave_arbitrum
2022-01-20 00:00:00+00:00,0.013008698656257036,WETH,supply,aave_arbitrum
2022-01-21 00:00:00+00:00,0.019323627144319473,WETH,supply,aave_arbitrum
2022-01-22 00:00:00+00:00,0.015563328074746577,WETH,supply,aave_arbitrum
2022-01-23 00:00:00+00:00,0.015703278076478856,WETH,supply,aave_arbitrum
2022-01-24 00:00:00+00:00,0.015115203062047694,WETH,supply,aave_arbitrum
2022-01-25 00:00:00+00:00,0.014860346412301117,WETH,supply,aave_arbitrum
2022-01-26 00:00:00+00:00,0.017315734143982478,WETH,supply,aave_arbitrum
2022-01-27 00:00:00+00:00,0.011318120933532827,WETH,supply,aave_arbitrum
2022-01-28 00:00:00+00:00,0.017761275662581316,WETH,supply,aave_arbitrum
2022-01-29 00:00:00+00:00,0.013888020273982405,WETH,supply,aave_arbitrum
2022-01-30 00:00:00+00:00,0.015817227047034,WETH,supply,aave_arbitrum
2022-01-31 00:00:00+00:00,0.01268434391719889,WETH,supply,aave_arbitrum
2022-02-01 00:00:00+00:00,0.017340919231029588,WETH,supply,aave_arbitrum
2022-02-02 00:00:00+00:00,0.013653410315138597,WETH,supply,aave_arbitrum
2022-02-03 00:00:00+00:00,0.01132742831224199,WETH,supply,aave_arbitrum
2022-02-04 00:00:00+00:00,0.01842890975188066,WETH,supply,aave_arbitrum
2022-02-05 00:00:00+00:00,0.015267156865414048,WETH,supply,aave_arbitrum
2022-02-06 00:00:00+00:00,0.016601720099259223,WETH,supply,aave_arbitrum
2022-02-07 00:00:00+00:00,0.011935113844056178,WETH,supply,aave_arbitrum
2022-02-08 00:00:00+00:00,0.024529630824586434,WETH,supply,aave_arbitrum
2022-02-09 00:00:00+00:00,0.028196276095877555,WETH,supply,aave_arbitrum
2022-02-10 00:00:00+00:00,0.021114736433279165,WETH,supply,aave_arbitrum
2022-02-11 00:00:00+00:00,0.026120575718026843,WETH,supply,aave_arbitrum
2022-02-12 00:00:00+00:00,0.029264333901578655,WETH,supply,aave_arbitrum
2022-02-13 00:00:00+00:00,0.021509616068589695,WETH,supply,aave_arbitrum
2022-02-14 00:00:00+00:00,0.023868284963579817,WETH,supply,aave_arbitrum
2022-02-15 00:00:00+00:00,0.023868284963579817,WETH,supply,aave_arbitrum
2022-02-16 00:00:00+00:00,0.015625242767716277,WETH,supply,aave_arbitrum
2022-02-17 00:00:00+00:00,0.01678403850965971,WETH,supply,aave_arbitrum
2022-02-18 00:00:00+00:00,0.018018824027172763,WETH,supply,aave_arbitrum
2022-02-19 00:00:00+00:00,0.017906833079258316,WETH,supply,aave_arbitrum
2022-02-20 00:00:00+00:00,0.015941622489630273,WETH,supply,aave_arbitrum
2022-02-21 00:00:00+00:00,0.015903301400332512,WETH,supply,aave_arbitrum
2022-02-22 00:00:00+00:00,0.017251466036760556,WETH,supply,aave_arbitrum
2022-02-23 00:00:00+00:00,0.01540620173250802,WETH,supply,aave_arbitrum
2022-02-24 00:00:00+00:00,0.015387845371327119,WETH,supply,aave_arbitrum
2022-02-25 00:00:00+00:00,0.01684679216637887,WETH,supply,aave_arbitrum
2022-02-26 00:00:00+00:00,0.013767306188087828,WETH,supply,aave_arbitrum
2022-02-27 00:00:00+00:00,0.019722067590221246,WETH,supply,aave_arbitrum
2022-02-28 00:00:00+00:00,0.015794534871877517,WETH,supply,aave_arbitrum
2022-03-01 00:00:00+00:00,0.013942323858617581,WETH,supply,aave_arbitrum
