policy,r_target,Q_max,asset
B1_Industry,2.0,501187233.6272715,BTC
B1_Industry,5.0,470830210.8607469,BTC
B1_Industry,8.0,355429744.07300436,BTC
B1_Industry,10.0,268313927.30906212,BTC
B1_Industry,15.0,0.0,BTC
B1_Industry,20.0,0.0,BTC
B2_Conservative,2.0,501187233.6272715,BTC
B2_Conservative,5.0,501187233.6272715,BTC
B2_Conservative,8.0,260061089.04198515,BTC
B2_Conservative,10.0,0.0,BTC
B2_Conservative,15.0,0.0,BTC
B2_Conservative,20.0,0.0,BTC
B3_Aggressive,2.0,501187233.6272715,BTC
B3_Aggressive,5.0,442311919.7486155,BTC
B3_Aggressive,8.0,355429744.07300436,BTC
B3_Aggressive,10.0,294677335.0922261,BTC
B3_Aggressive,15.0,101868567.958784,BTC
B3_Aggressive,20.0,0.0,BTC
ALG_Adaptive,2.0,501187233.6272715,BTC
ALG_Adaptive,5.0,501187233.6272715,BTC
ALG_Adaptive,8.0,501187233.6272715,BTC
ALG_Adaptive,10.0,501187233.6272715,BTC
ALG_Adaptive,15.0,501187233.6272715,BTC
ALG_Adaptive,20.0,344497385.0167251,BTC
