policy,r_target,Q_max,asset
B1_Industry,2.0,501187233.6272715,BTC
B1_Industry,5.0,470830210.8607469,BTC
B1_Industry,8.0,355429744.07300436,BTC
B1_Industry,10.0,268313927.30906212,BTC
B1_Industry,15.0,0.0,BTC
B1_Industry,20.0,0.0,BTC
B2_Conservative,2.0,501187233.6272715,BTC
B2_Conservative,5.0,501187233.6272715,BTC
B2_Conservative,8.0,260061089.04198515,BTC
B2_Conservative,10.0,0.0,BTC
B2_Conservative,15.0,0.0,BTC
B2_Conservative,20.0,0.0,BTC
B3_Aggressive,2.0,501187233.6272715,BTC
B3_Aggressive,5.0,442311919.7486155,BTC
B3_Aggressive,8.0,355429744.07300436,BTC
B3_Aggressive,10.0,294677335.0922261,BTC
B3_Aggressive,15.0,101868567.958784,BTC
B3_Aggressive,20.0,0.0,BTC
ALG_Adaptive,2.0,501187233.6272715,BTC
ALG_Adaptive,5.0,501187233.6272715,BTC
ALG_Adaptive,8.0,501187233.6272715,BTC
ALG_Adaptive,10.0,501187233.6272715,BTC
ALG_Adaptive,15.0,501187233.6272715,BTC
ALG_Adaptive,20.0,344497385.0167251,BTC
ALGS_Smoothed,2.0,501187233.6272715,BTC
ALGS_Smoothed,5.0,501187233.6272715,BTC
ALGS_Smoothed,8.0,501187233.6272715,BTC
ALGS_Smoothed,10.0,501187233.6272715,BTC
ALGS_Smoothed,15.0,501187233.6272715,BTC
ALGS_Smoothed,20.0,333901285.02859765,BTC
B1_Industry,2.0,501187233.6272715,ETH
B1_Industry,5.0,390352788.78871304,ETH
B1_Industry,8.0,252062092.75823674,ETH
B1_Industry,10.0,148202070.5798854,ETH
B1_Industry,15.0,0.0,ETH
B1_Industry,20.0,0.0,ETH
B2_Conservative,2.0,501187233.6272715,ETH
B2_Conservative,5.0,485771644.79767925,ETH
B2_Conservative,8.0,167928971.5139966,ETH
B2_Conservative,10.0,0.0,ETH
B2_Conservative,15.0,0.0,ETH
B2_Conservative,20.0,0.0,ETH
B3_Aggressive,2.0,428707226.26924586,ETH
B3_Aggressive,5.0,333901285.02859765,ETH
B3_Aggressive,8.0,222451931.46053568,ETH
B3_Aggressive,10.0,143643650.0326997,ETH
B3_Aggressive,15.0,0.0,ETH
B3_Aggressive,20.0,0.0,ETH
ALG_Adaptive,2.0,501187233.6272715,ETH
ALG_Adaptive,5.0,501187233.6272715,ETH
ALG_Adaptive,8.0,501187233.6272715,ETH
ALG_Adaptive,10.0,501187233.6272715,ETH
ALG_Adaptive,15.0,428707226.26924586,ETH
ALG_Adaptive,20.0,236794635.4587752,ETH
ALGS_Smoothed,2.0,501187233.6272715,ETH
ALGS_Smoothed,5.0,501187233.6272715,ETH
ALGS_Smoothed,8.0,501187233.6272715,ETH
ALGS_Smoothed,10.0,501187233.6272715,ETH
ALGS_Smoothed,15.0,415520987.90357417,ETH
ALGS_Smoothed,20.0,222451931.46053568,ETH
