policy,r_target,Q_max,asset
B1_Industry,2.0,501187233.6272715,ETH
B1_Industry,5.0,402740333.74918044,ETH
B1_Industry,8.0,260061089.04198515,ETH
B1_Industry,10.0,148202070.5798854,ETH
B1_Industry,15.0,0.0,ETH
B1_Industry,20.0,0.0,ETH
B2_Conservative,2.0,501187233.6272715,ETH
B2_Conservative,5.0,485771644.79767925,ETH
B2_Conservative,8.0,173258068.02500078,ETH
B2_Conservative,10.0,0.0,ETH
B2_Conservative,15.0,0.0,ETH
B2_Conservative,20.0,0.0,ETH
B3_Aggressive,2.0,442311919.7486155,ETH
B3_Aggressive,5.0,333901285.02859765,ETH
B3_Aggressive,8.0,229511272.09202212,ETH
B3_Aggressive,10.0,143643650.0326997,ETH
B3_Aggressive,15.0,0.0,ETH
B3_Aggressive,20.0,0.0,ETH
ALG_Adaptive,2.0,501187233.6272715,ETH
ALG_Adaptive,5.0,501187233.6272715,ETH
ALG_Adaptive,8.0,501187233.6272715,ETH
ALG_Adaptive,10.0,501187233.6272715,ETH
ALG_Adaptive,15.0,428707226.26924586,ETH
ALG_Adaptive,20.0,236794635.4587752,ETH
ALGS_Smoothed,2.0,501187233.6272715,ETH
ALGS_Smoothed,5.0,501187233.6272715,ETH
ALGS_Smoothed,8.0,501187233.6272715,ETH
ALGS_Smoothed,10.0,501187233.6272715,ETH
ALGS_Smoothed,15.0,415520987.90357417,ETH
ALGS_Smoothed,20.0,229511272.09202212,ETH
