policy,Q,L,epsilon,asset
B1_Industry,1000000.0,2.0,0.05,BTC
B1_Industry,4731512.589614803,2.0,0.05,BTC
B1_Industry,22387211.385683376,2.0,0.05,BTC
B1_Industry,105925372.51772854,2.0,0.05,BTC
B1_Industry,501187233.6272715,2.0,0.05,BTC
B2_Conservative,1000000.0,1.2,0.1,BTC
B2_Conservative,4731512.589614803,1.2,0.1,BTC
B2_Conservative,22387211.385683376,1.2,0.1,BTC
B2_Conservative,105925372.51772854,1.2,0.1,BTC
B2_Conservative,501187233.6272715,1.2,0.1,BTC
B3_Aggressive,1000000.0,2.5,0.03,BTC
B3_Aggressive,4731512.589614803,2.5,0.03,BTC
B3_Aggressive,22387211.385683376,2.5,0.03,BTC
B3_Aggressive,105925372.51772854,2.5,0.03,BTC
B3_Aggressive,501187233.6272715,2.5,0.03,BTC
ALG_Adaptive,1000000.0,5.0,0.15,BTC
ALG_Adaptive,4731512.589614803,5.0,0.15,BTC
ALG_Adaptive,22387211.385683376,5.0,0.15,BTC
ALG_Adaptive,105925372.51772854,2.4755972734338103,0.11,BTC
ALG_Adaptive,501187233.6272715,1.0,0.15,BTC
ALGS_Smoothed,1000000.0,5.0,0.15,BTC
ALGS_Smoothed,4731512.589614803,5.0,0.15,BTC
ALGS_Smoothed,22387211.385683376,5.0,0.15,BTC
ALGS_Smoothed,105925372.51772854,2.7135057877794613,0.15,BTC
ALGS_Smoothed,501187233.6272715,1.0,0.15,BTC
