policy,Q,L,epsilon,asset
B1_Industry,1000000.0,2.0,0.05,ETH
B1_Industry,4731512.589614803,2.0,0.05,ETH
B1_Industry,22387211.385683376,2.0,0.05,ETH
B1_Industry,105925372.51772854,2.0,0.05,ETH
B1_Industry,501187233.6272715,2.0,0.05,ETH
B2_Conservative,1000000.0,1.2,0.1,ETH
B2_Conservative,4731512.589614803,1.2,0.1,ETH
B2_Conservative,22387211.385683376,1.2,0.1,ETH
B2_Conservative,105925372.51772854,1.2,0.1,ETH
B2_Conservative,501187233.6272715,1.2,0.1,ETH
B3_Aggressive,1000000.0,2.5,0.03,ETH
B3_Aggressive,4731512.589614803,2.5,0.03,ETH
B3_Aggressive,22387211.385683376,2.5,0.03,ETH
B3_Aggressive,105925372.51772854,2.5,0.03,ETH
B3_Aggressive,501187233.6272715,2.5,0.03,ETH
ALG_Adaptive,1000000.0,5.0,0.15,ETH
ALG_Adaptive,4731512.589614803,5.0,0.15,ETH
ALG_Adaptive,22387211.385683376,3.7440467781714872,0.11,ETH
ALG_Adaptive,105925372.51772854,1.282923618169771,0.09000000000000001,ETH
ALG_Adaptive,501187233.6272715,1.0,0.15,ETH
ALGS_Smoothed,1000000.0,3.926196780392372,0.02,ETH
ALGS_Smoothed,4731512.589614803,4.21407727789859,0.03,ETH
ALGS_Smoothed,22387211.385683376,4.212813013627533,0.15,ETH
ALGS_Smoothed,105925372.51772854,1.5108899182105582,0.15,ETH
ALGS_Smoothed,501187233.6272715,1.0,0.15,ETH
