policy,regime,mean_carry,std_carry,min_carry,max_carry,asset
B1_Industry,med_vol,16.3422970200097,31.188163505938604,-69.0832585738479,521.0264746550764,BTC
B1_Industry,low_vol,11.467360070364377,14.99253475215028,-45.180806401363164,269.06026100991653,BTC
B1_Industry,high_vol,14.574410703033621,27.320521231670348,-74.78194802356943,253.5444867391102,BTC
B2_Conservative,med_vol,11.096364779084713,18.72603521715613,-40.06374010687127,313.6063933128833,BTC
B2_Conservative,low_vol,8.012868452792839,8.990666123684154,-26.029043059943284,162.51249895179723,BTC
B2_Conservative,high_vol,10.56296989214495,16.32902430263219,-43.014792687882775,154.18905684478733,BTC
B3_Aggressive,med_vol,18.990140233426295,38.98693778313108,-87.93622198902634,650.2167556093922,BTC
B3_Aggressive,low_vol,13.384539657674953,18.736179081734505,-57.48176447939426,335.30275679110736,BTC
B3_Aggressive,high_vol,15.569682599415996,34.45808873894579,-96.32673183401226,314.6350504568993,BTC
ALG_Adaptive,med_vol,37.28838120022789,75.50501641710308,-32.90939910587224,1295.7116320091086,BTC
ALG_Adaptive,low_vol,25.553774569491424,35.64604624809248,-21.28359069249187,668.2778606633123,BTC
ALG_Adaptive,high_vol,33.121489659748306,63.17984711567448,-35.25240619000289,619.0478243068342,BTC
ALGS_Smoothed,med_vol,37.14405306622587,75.56659835706495,-32.90939910587224,1295.7116320091086,BTC
ALGS_Smoothed,low_vol,25.548420917497072,35.64931288441966,-21.28359069249187,668.2778606633123,BTC
ALGS_Smoothed,high_vol,32.37123749459168,63.49578677438152,-35.25240619000289,619.0478243068342,BTC
