policy,regime,mean_carry,std_carry,min_carry,max_carry,asset
B1_Industry,med_vol,16.32813678555318,31.187864021202692,-69.10793149924636,521.0106933196319,BTC
B1_Industry,low_vol,11.46262019689105,14.99198805875449,-45.18770568400693,269.053726981419,BTC
B1_Industry,high_vol,14.539086289283084,27.326262848470165,-74.80592347892015,253.50893000959954,BTC
B2_Conservative,med_vol,11.092103698461871,18.725865194139256,-40.072373962692104,313.60083764597687,BTC
B2_Conservative,low_vol,8.011538977747797,8.990450861618442,-26.031044346031518,162.51071802650685,BTC
B2_Conservative,high_vol,10.552144934681639,16.330583116034934,-43.02004525621788,154.17653578852236,BTC
B3_Aggressive,med_vol,18.961465104961533,38.98670175087281,-87.980368003873,650.1886789054308,BTC
B3_Aggressive,low_vol,13.374475303475407,18.735325139682363,-57.49609587782222,335.28863369633854,BTC
B3_Aggressive,high_vol,15.499088000111646,34.47058386226201,-96.38472258113902,314.5718087586663,BTC
ALG_Adaptive,med_vol,37.226724784546185,75.4981030024995,-32.91535038566861,1295.616051917333,BTC
ALG_Adaptive,low_vol,25.533943732117713,35.64146088135351,-21.28492836172017,668.2490603180755,BTC
ALG_Adaptive,high_vol,33.03846521062937,63.15553995113294,-35.25534629310299,618.8324283298692,BTC
B1_Industry,med_vol,13.900498787474206,23.464562955600012,-77.11738548207256,204.27366179429433,ETH
B1_Industry,high_vol,8.943305821569277,22.733243183903298,-341.06131318405966,174.012240083174,ETH
B1_Industry,low_vol,13.440635355486352,17.466080542687415,-103.23900422488195,131.42020952863442,ETH
B2_Conservative,med_vol,10.027660351739769,14.081897954889536,-44.521713513482645,123.9953510855601,ETH
B2_Conservative,high_vol,7.623260096848261,13.474949783369652,-202.6032288839031,106.23675024584358,ETH
B2_Conservative,low_vol,9.544889576552512,10.443193117706368,-60.56344784008545,80.29220872825024,ETH
B3_Aggressive,med_vol,15.636108560646962,29.317021553181878,-98.3896871726542,253.78817853998643,ETH
B3_Aggressive,high_vol,7.721765424262591,28.993527409879164,-428.94403200675885,215.21063775990123,ETH
B3_Aggressive,low_vol,15.561576978563936,21.87342727748516,-130.13978587097418,163.17998768792162,ETH
ALG_Adaptive,med_vol,32.37608658658164,54.00856382369994,-36.49529713029085,503.86055163681,ETH
ALG_Adaptive,high_vol,23.816339619415253,45.681317695289195,-168.1251928645191,421.11750716097777,ETH
ALG_Adaptive,low_vol,30.193548702019932,39.98834841950141,-49.92280548656897,322.96678007625906,ETH
